original_code	code	name	island_code	region_area_id	town	original_name
TB012906704	TB012906704	Círculo Podemos Málaga Este - El Palo			m_29_067_2	Málaga - Málaga - Círculo Podemos Málaga Este - El Palo
TB012906711	TB012906711	Distrito 11 Teatinos			m_29_067_2	Málaga - Málaga - Distrito 11 Teatinos
TM012906901	TM012906901	Círculo Podemos Marbella			m_29_069_1	Málaga - Marbella - Círculo Podemos Marbella
TB012906901	TB012906901	Círculo Podemos San Pedro de Alcántara			m_29_069_1	Málaga - Marbella - Círculo Podemos San Pedro de Alcántara
TB012907001	TB012907001	Círculo Podemos Cala Mijas			m_29_070_5	Málaga - Mijas - Círculo Podemos Cala Mijas
TM012907501	TM012907501	Podemos Nerja-Maro			m_29_075_1	Málaga - Nerja - Podemos Nerja-Maro
TM012908201	TM012908201	Círculo Podemos Rincón de la Victoria			m_29_082_5	Málaga - Rincón de la Victoria - Círculo Podemos Rincón de la Victoria
TM012908401	TM012908401	Círculo Podemos Ronda			m_29_084_6	Málaga - Ronda - Círculo Podemos Ronda
TM012906703	TM012990101	Círculo Podemos Torremolinos			m_29_901_8	Málaga - Torremolinos - Círculo Podemos Torremolinos
TM012909401	TM012909401	Podemos Vélez-Málaga			m_29_094_4	Málaga - Vélez-Málaga - Podemos Vélez-Málaga
TM195200100	TM195200101	"Círculo Podemos Melilla ""Sí se puede"""			m_52_001_8	"Melilla - Melilla - Círculo Podemos Melilla ""Sí se puede"""
TM143000301	TM123000301	Podemos Águilas			m_30_003_2	Murcia - Águilas - Podemos Águilas
TM143000501	TM123000501	Podemos Alcantarilla			m_30_005_0	Murcia - Alcantarilla - Podemos Alcantarilla
TM143090201	TM123090201	Círculo Los Alcázares			m_30_902_7	Murcia - Alcázares, Los - Círculo Los Alcázares
TM143000801	TM123000801	Podemos Alhama			m_30_008_5	Murcia - Alhama de Murcia - Podemos Alhama
TM143000901	TM123000901	Podemos Archena			m_30_009_8	Murcia - Archena - Podemos Archena
TM143001201	TM123001201	Podemos Bullas			m_30_012_4	Murcia - Bullas - Podemos Bullas
TM143001301	TM123001301	Podemos Calasparra			m_30_013_0	Murcia - Calasparra - Podemos Calasparra
TB143001602	TB123001602	Círculo de La Manga			m_30_016_1	Murcia - Cartagena - Círculo de La Manga
TB143001601	TB123001601	Podemos Cartagena			m_30_016_1	Murcia - Cartagena - Podemos Cartagena
TB143001603	TB123001603	Podemos Cartagena Norte			m_30_016_1	Murcia - Cartagena - Podemos Cartagena Norte
TB143001604	TB123001604	Podemos Cartagena Oeste			m_30_016_1	Murcia - Cartagena - Podemos Cartagena Oeste
TM143001701	TM123001701	Podemos Cehegín			m_30_017_7	Murcia - Cehegín - Podemos Cehegín
TM143001901	TM123001901	Podemos Cieza			m_30_019_6	Murcia - Cieza - Podemos Cieza
TM143002001	TM123002001	Círculo Podemos Fortuna			m_30_020_0	Murcia - Fortuna - Círculo Podemos Fortuna
TM143002201	TM123002201	Podemos Jumilla			m_30_022_2	Murcia - Jumilla - Podemos Jumilla
TM143002401	TM123002401	Podemos Lorca			m_30_024_3	Murcia - Lorca - Podemos Lorca
TM143002601	TM123002601	Podemos Mazarrón			m_30_026_9	Murcia - Mazarrón - Podemos Mazarrón
TM143004301	TM123002701	Podemos Molina			m_30_027_5	Murcia - Molina de Segura - Podemos Molina
TM143002801	TM123002801	Podemos Moratalla			m_30_028_1	Murcia - Moratalla - Podemos Moratalla
TB143003005	TB123003005	Círculo Barrios RBG			m_30_030_8	Murcia - Murcia - Círculo Barrios RBG
TB143003009	TB123003009	Círculo Podemos Betito (Beniaján, San José de la Vega, Torreagüera)			m_30_030_8	Murcia - Murcia - Círculo Podemos Betito (Beniaján, San José de la Vega, Torreagüera)
TB143003008	TB123003008	Círculo Podemos El Palmar			m_30_030_8	Murcia - Murcia - Círculo Podemos El Palmar
TB143003004	TB123003004	Podemos La Flota Vistalegre Zaraíche			m_30_030_8	Murcia - Murcia - Podemos La Flota Vistalegre Zaraíche
TB143003001	TB123003001	Podemos Murcia Ciudad			m_30_030_8	Murcia - Murcia - Podemos Murcia Ciudad
TB143003007	TB123003007	Podemos Murcia Costera Sur			m_30_030_8	Murcia - Murcia - Podemos Murcia Costera Sur
TB143003002	TB123003002	Podemos Murcia Huerta Este			m_30_030_8	Murcia - Murcia - Podemos Murcia Huerta Este
TB143003003	TB123003003	Podemos Murcia Sur			m_30_030_8	Murcia - Murcia - Podemos Murcia Sur
TB143003006	TB123003006	Podemos Rincón de Seca			m_30_030_8	Murcia - Murcia - Podemos Rincón de Seca
